time,stim,event,duration
1702637463.1903884,visual,start,0
1702637583.2034314,visual,stim,15
1702637598.1981225,visual,blank,0
1702637643.2052054,visual,stim,15
1702637658.2027118,visual,blank,0
1702637703.190735,visual,stim,15
1702637718.2047358,visual,blank,0
1702637763.1929371,visual,stim,15
1702637778.193168,visual,blank,0
1702637823.195522,visual,stim,15
1702637838.1953626,visual,blank,0
1702637883.1970417,visual,stim,15
1702637898.1928432,visual,blank,0
1702637943.1998148,visual,stim,15
1702637958.1950684,visual,blank,0
1702638003.2019217,visual,stim,15
1702638018.1969216,visual,blank,0
1702638063.204133,visual,stim,15
1702638078.2001512,visual,blank,0
1702638123.2054794,visual,stim,15
1702638138.202482,visual,blank,0
